,acousticness,danceability,instrumentalness,valence,energy,target
Ikimiz_Bir_Fidaniz_-_Baris_K_Edit***Umit_Aksu_Orkestrasi,0.374,0.549,3.5e-06,0.785,0.715,1
Sentimental_Trash***Sweet_Valley,0.00266,0.557,0.771,0.259,0.607,1
Get_Away***CHVRCHES,0.000546,0.597,0.051,0.361,0.444,1
Look_At_Wrist***Father,0.00781,0.879,1.45e-05,0.277,0.512,1
Our_Love***Caribou,0.125,0.726,0.89,0.472,0.497,1
I_Ain't_Trippin_off_Nothin***Ezale,0.00158,0.857,0.0,0.251,0.831,1
They_Don't_Know_-_Original_Mix***Disciples,0.0132,0.807,0.666,0.797,0.778,1
Sabali***Amadou_&_Mariam,0.783,0.596,0.569,0.197,0.639,1
Spooky***Dusty_Springfield,0.518,0.683,2.08e-05,0.967,0.708,1
Pick_Up_The_Pieces***Average_White_Band,0.0548,0.768,0.13,0.887,0.853,1
Have_Love_Will_Travel***The_Sonics,0.727,0.506,0.0,0.936,0.948,1
Capitol***TR/ST,0.000313,0.457,0.000215,0.297,0.918,1
Uncast_Shadow_Of_A_Southern_Myth***Parquet_Courts,0.34,0.468,0.821,0.324,0.58,1
I_Shall_Be_Released_-_Remastered***Nina_Simone,0.47,0.537,1.86e-05,0.549,0.447,1
Words_I_Don't_Remember***How_To_Dress_Well,0.855,0.515,0.463,0.194,0.217,1
To_The_Top***Twin_Shadow,0.00502,0.429,1.54e-05,0.174,0.725,1
Them_Changes_(feat._Flying_Lotus_&_Kamasi_Washington)***Thundercat,0.555,0.791,0.00155,0.733,0.58,1
Aquafina_(feat._GoldLink_&_Chaz_French)***Falcons,0.186,0.711,0.0,0.403,0.705,1
Hot_Blur***How_Sad,0.0249,0.683,0.627,0.921,0.824,1
Summer_Madness***Kool_&_The_Gang,0.0108,0.309,0.854,0.46,0.325,1
The_Payback***James_Brown,0.193,0.867,0.000219,0.761,0.733,1
I'm_In_Love***Fool's_Gold,0.0192,0.619,0.263,0.853,0.734,1
I_Need_You_Tonight***Punkin_Machine,0.00776,0.898,0.292,0.868,0.5,1
Everybody_Likes_Something_Good***Ify_Jerry_Crusade,0.17,0.589,0.000406,0.76,0.745,1
Dadje_Von_O_Von_Non***Gnonnas_Pédro,0.0221,0.606,1.65e-05,0.958,0.668,1
Sugah_Daddy***D'Angelo,0.0397,0.786,0.272,0.68,0.547,1
International_Players_Anthem***Swishahouse,0.0213,0.734,0.0,0.72,0.548,1
Swerve***ILoveMakonnen,0.0454,0.812,0.0,0.399,0.676,1
Look_At_Wrist***Father,0.00672,0.876,1.06e-05,0.249,0.606,1
Let_It_Happen***Tame_Impala,0.00488,0.601,0.0365,0.566,0.873,1
My_Way_(feat._Monty)***Fetty_Wap,0.00419,0.748,0.0,0.533,0.741,1
Walk***Kwabs,0.17,0.615,0.0,0.601,0.814,1
The_Magnificent_Seven_-_Remastered***The_Clash,0.0604,0.799,0.0,0.833,0.789,1
NOBO***Tijuana_Panthers,0.0571,0.398,0.0172,0.689,0.776,1
The_Gaudy_Side_of_Town***Gayngs,0.716,0.685,0.518,0.649,0.423,1
U_Mad***Vic_Mensa,0.0151,0.706,0.0,0.463,0.581,1
Slumlord***Neon_Indian,0.228,0.63,0.00661,0.805,0.98,1
Leave_A_Trace***CHVRCHES,0.017,0.57,5.74e-05,0.267,0.736,1
Willing_&_Able***Disclosure,0.247,0.525,0.0,0.943,0.643,1
White_Girl***Shy_Glizzy,0.123,0.698,0.0,0.46,0.793,1
Maneuvering***ILoveMakonnen,0.00705,0.763,0.032,0.347,0.773,1
Be_My_Baby***The_Ronettes,0.181,0.511,0.0,0.814,0.769,1
Why_Don't_They_Let_Us_Fall_in_Love***The_Ronettes,0.378,0.506,0.0293,0.855,0.813,1
Will_You_Love_Me_Tomorrow***The_Shirelles,0.677,0.513,6.43e-05,0.521,0.494,1
One_Fine_Day***The_Chiffons,0.488,0.251,7.34e-06,0.587,0.868,1
He's_So_Fine_-_2000_Digital_Remaster***The_Chiffons,0.487,0.559,0.0,0.842,0.633,1
Then_He_Kissed_Me***The_Crystals,0.7,0.431,6.37e-06,0.632,0.678,1
It's_My_Party***Lesley_Gore,0.403,0.683,0.0,0.93,0.71,1
Please_Mr._Postman***The_Marvelettes,0.656,0.78,0.0,0.967,0.599,1
Fiesta_-_Remix***Bomba_Estéreo,0.00904,0.614,0.000131,0.354,0.907,1
Queen's_Speech_4***Lady_Leshurr,0.141,0.661,0.0,0.657,0.531,1
I_Know_There's_Gonna_Be_(Good_Times)***Jamie_xx,0.119,0.564,0.0,0.489,0.594,1
With_That_(feat._Duke)***Young_Thug,0.0659,0.751,0.0,0.168,0.597,1
Hotline_Bling***Drake,0.00257,0.896,0.000258,0.564,0.623,1
679_(feat._Remy_Boyz)***Fetty_Wap,0.00256,0.618,0.0,0.601,0.717,1
Trap_Queen***Fetty_Wap,0.0244,0.746,0.0,0.808,0.873,1
No_Type***Rae_Sremmurd,0.013,0.888,4.85e-06,0.221,0.483,1
Chasing_Heaven***Bassnectar,0.0127,0.443,0.952,0.138,0.645,1
Speakerbox_(feat._Lafa_Taylor)***Bassnectar,0.00943,0.507,0.0018,0.472,0.934,1
Movin'_Bass_-_GTA_Remix***Rick_Ross,0.000758,0.695,0.000103,0.612,0.912,1
Danger_and_Dread***Brown_Bird,0.674,0.462,0.000632,0.748,0.449,1
Midnight_City***M83,0.0161,0.526,0.0,0.299,0.712,1
Water_No_Get_Enemy_-_Edit***Fela_Kuti,0.107,0.645,0.0266,0.886,0.924,1
Pyramids***Frank_Ocean,0.0134,0.405,7.62e-05,0.204,0.647,1
Hercules_Theme***Hercules_&_Love_Affair,0.0219,0.735,0.89,0.886,0.641,1
Rewind***Kelela,0.0452,0.746,7.77e-05,0.216,0.416,1
My_Sub_(Pt._2:_The_Jackin')_-_Album_Version_(Edited)***Big_K.R.I.T.,0.0551,0.547,0.0,0.187,0.643,1
Kush***Lil_Wayne,0.0224,0.634,0.0,0.659,0.609,1
9***Willow,0.244,0.607,0.000177,0.16,0.488,1
Magnets***Disclosure,0.0668,0.704,1.93e-06,0.694,0.647,1
Don't_Move***Phantogram,7.19e-05,0.558,0.00746,0.492,0.642,1
Pussy***Brazilian_Girls,0.0227,0.698,0.0599,0.786,0.804,1
Black_Mags***The_Cool_Kids,0.103,0.772,6.61e-05,0.564,0.582,1
Stay_Fly_-_Explicit_Album_Version***Three_6_Mafia,0.0956,0.788,0.0,0.678,0.864,1
Sippin_On_Some_Syrup***Three_6_Mafia,0.00919,0.944,0.0,0.891,0.839,1
Poppin'_My_Collar_-_feat._Project_Pat_-_Explicit***Three_6_Mafia,0.354,0.729,0.0,0.853,0.795,1
Sittin'_Sidewayz_-_feat._Big_Pokey_Explicit***Paul_Wall,0.00469,0.721,0.0103,0.578,0.621,1
Gold_and_a_Pager***The_Cool_Kids,0.00102,0.798,3.22e-06,0.482,0.751,1
Smell_Yo_D*ck***Riskay,0.0512,0.851,0.0,0.365,0.387,1
Don't_Wanna_Lose***Ex_Hex,0.0252,0.34,0.0,0.654,0.805,1
Endless_Rhythm***Baio,0.221,0.767,0.0723,0.779,0.891,1
Demon***Shamir,0.937,0.772,0.018,0.592,0.635,1
Nothing_Ever_Happened***Deerhunter,2.13e-05,0.259,0.823,0.682,0.847,1
Oh_My_Darling_Don't_Meow_(Just_Blaze_Remix)***Run_The_Jewels,0.284,0.633,0.0,0.324,0.77,1
River***Ibeyi,0.0962,0.654,0.0031,0.111,0.292,1
The_Buzz_(feat._Mataya_&_Young_Tapz)***Hermitude,0.334,0.726,0.00135,0.48,0.583,1
All_Day***Kanye_West,0.0648,0.855,0.0,0.433,0.638,1
Blood_On_the_Money***Future,0.185,0.704,0.0972,0.349,0.431,1
River***Leon_Bridges,0.689,0.658,0.0,0.197,0.179,1
Trust_Me_Danny***ILoveMakonnen,0.000472,0.502,0.043,0.593,0.833,1
Big_Rings***Drake,0.00157,0.79,0.0,0.314,0.676,1
Annie***Neon_Indian,0.0233,0.738,0.0317,0.863,0.849,1
Acamar***Frankey,0.00212,0.777,0.868,0.201,0.739,1
Alright***Kendrick_Lamar,0.0734,0.791,0.0,0.581,0.779,1
Know_Yourself***Drake,0.19,0.735,0.0,0.16,0.41,1
Deicide***Crystal_Castles,0.188,0.556,0.911,0.516,0.582,1
Coming_Home***Leon_Bridges,0.461,0.427,5.52e-05,0.462,0.465,1
Hercules_Theme_2014***Hercules_&_Love_Affair,0.0111,0.563,2.71e-05,0.767,0.81,1
Forever***Majid_Jordan,0.0496,0.753,0.0123,0.445,0.708,1
Next_to_You***Poolside,0.149,0.785,0.813,0.961,0.764,1
Papi_Pacify***FKA_twigs,0.0682,0.557,0.0263,0.211,0.608,1
Magnolia***Young_&_Sick,0.489,0.594,0.00452,0.311,0.42,1
Dark_Matter***Feathers,0.000259,0.644,0.0708,0.752,0.758,1
Callie_(feat._Vic_Mensa)***Donnie_Trumpet,0.217,0.704,0.000118,0.804,0.657,1
Wu-Tang_Forever***Drake,0.0472,0.849,0.0,0.337,0.408,1
Fame_(2007_Remastered)***David_Bowie,0.228,0.628,0.0183,0.618,0.568,1
We_Dem_Boyz***Wiz_Khalifa,0.00689,0.717,0.0,0.512,0.862,1
Ego_Free_Sex_Free***Autre_Ne_Veut,0.0109,0.584,1.03e-06,0.326,0.68,1
Her_Fantasy***Matthew_Dear,0.0246,0.586,0.000167,0.207,0.806,1
Little_People_(Black_City)***Matthew_Dear,0.00399,0.648,0.294,0.559,0.85,1
Confess_To_Me***Disclosure,0.037,0.807,0.000763,0.421,0.785,1
Let_Me_Show_You_Love***Cut_Copy,0.0789,0.577,0.207,0.381,0.941,1
New_Slaves***Kanye_West,0.141,0.5,6.21e-06,0.325,0.593,1
Sexy_Socialite***Chromeo,0.108,0.804,0.0636,0.966,0.708,1
Okay***Holy_Ghost!,0.0108,0.787,0.0152,0.867,0.658,1
Weight***Mikal_Cronin,0.0107,0.246,5.71e-06,0.189,0.784,1
When_A_Fire_Starts_To_Burn***Disclosure,0.0107,0.882,0.00152,0.678,0.743,1
When_A_Fire_Starts_To_Burn_-_Midland_Remix***Disclosure,0.0315,0.628,0.543,0.86,0.824,1
Fake_Tales_Of_San_Francisco***Arctic_Monkeys,0.00807,0.451,0.0,0.674,0.79,1
Billie_Holiday***Warpaint,0.64,0.518,0.000536,0.264,0.385,1
Goody_Two_Shoes***Duck_Sauce,0.0414,0.774,4.84e-06,0.768,0.901,1
The_Wire***HAIM,0.0127,0.547,5.01e-06,0.496,0.635,1
Awake***Tycho,0.0585,0.552,0.892,0.603,0.878,1
Man_I_Need***Jagwar_Ma,0.00856,0.542,5.38e-06,0.389,0.946,1
N.O._Bounce***Big_Freedia,0.019,0.695,0.8,0.337,0.94,1
Now_Is_Not_The_Time***CHVRCHES,0.0488,0.633,0.00047,0.357,0.492,1
No_Rest_For_The_Wicked***Lykke_Li,0.365,0.312,0.0038,0.308,0.445,1
Holdin_On***Flume,0.17,0.43,0.0,0.22,0.436,1
Rocking_Chair***The_Districts,0.0346,0.19,0.0369,0.181,0.908,1
Marriage***Gold_Panda,0.0361,0.312,0.618,0.122,0.907,1
Ride_On_/_Right_On***Phosphorescent,0.00818,0.539,0.0717,0.249,0.582,1
GodLovesUgly***Atmosphere,0.613,0.698,1.61e-05,0.816,0.878,1
New_York_City***Christopher_Owens,0.00275,0.476,0.757,0.745,0.818,1
Moving_to_the_Left***Woods,0.064,0.568,0.00099,0.792,0.936,1
All_These_Things_That_I've_Done***The_Killers,0.00192,0.558,8.97e-06,0.214,0.74,1
Junk_of_the_Heart_(Happy)***The_Kooks,0.0212,0.604,0.0,0.893,0.894,1
When_The_Night_Falls_-_feat._Solange_Knowles***Chromeo,0.0516,0.718,0.0473,0.898,0.921,1
Mercy***Kanye_West,0.0855,0.737,9.32e-05,0.438,0.545,1
Don't_You_Evah***Spoon,0.0293,0.769,2.12e-06,0.948,0.712,1
We_Exist***Arcade_Fire,0.00731,0.567,0.205,0.354,0.506,1
Le_Goudron_(Edit)***YACHT,0.000467,0.817,1.51e-06,0.448,0.588,1
Double_Bubble_Trouble***M.I.A.,0.0411,0.767,0.402,0.496,0.912,1
Careless***Dusky,0.000195,0.77,0.897,0.678,0.895,1
Look_at_You***George_McCrae,0.827,0.712,0.548,0.973,0.77,1
How_Did_I_Get_Here***ODESZA,0.39,0.706,0.692,0.385,0.577,1
Black_Out_Days***Phantogram,0.00471,0.542,0.0161,0.426,0.799,1
Bang!_Bang!***Joe_Cuba,0.827,0.583,3.81e-05,0.782,0.776,1
Every_1's_A_Winner_-_Single_Version***Hot_Chocolate,0.0628,0.727,0.526,0.93,0.548,1
Unbound***Cathedrals,0.00919,0.45,0.101,0.209,0.782,1
Operate***ASTR,0.0027,0.602,0.0053,0.468,0.764,1
Blood_On_The_Leaves***Kanye_West,0.385,0.415,0.0,0.372,0.681,1
Come_Save_Me***Jagwar_Ma,0.0304,0.614,0.000297,0.584,0.838,1
Hannah_Montana***Migos,0.105,0.901,7.79e-06,0.606,0.744,1
High_School_Lover***Cayucas,0.359,0.7,0.0221,0.64,0.986,1
They_Come_in_Gold***Shabazz_Palaces,0.119,0.583,0.0,0.422,0.843,1
Tides_of_Neptune***Virgo,0.0112,0.6,0.535,0.193,0.586,1
Cocaine_Model***ZHU,0.251,0.786,0.213,0.318,0.706,1
Light_House***Future_Islands,0.0696,0.512,0.33,0.396,0.821,1
Pass_The_Dutchie***Musical_Youth,0.403,0.791,0.0,0.96,0.664,1
Words_I_Don't_Remember***How_To_Dress_Well,0.849,0.533,0.565,0.196,0.213,1
I_Would_Die_4_U***Prince,0.0862,0.731,0.000388,0.648,0.75,1
Bless_My_Soul***Nightmares_On_Wax,0.000156,0.853,0.88,0.499,0.532,1
Heaven_And_Hell_Is_On_Earth***20th_Century_Steel_Band,0.0398,0.674,0.000123,0.567,0.501,1
Upper_Echelon***Travis_Scott,0.0448,0.788,0.0,0.13,0.617,1
Flying_High_(Part_1)***Cloud_One,0.000686,0.745,0.2,0.946,0.857,1
Go***Grimes,0.0107,0.621,0.187,0.288,0.796,1
Spill_The_Wine***Eric_Burdon,0.377,0.818,0.0,0.895,0.528,1
Got_To_Give_It_Up_(Part_1)***Marvin_Gaye,0.0988,0.856,0.000472,0.91,0.874,1
Never_Gonna_Give_You_Up***Barry_White,0.0913,0.614,0.0,0.944,0.857,1
Sanctified***Rick_Ross,0.0778,0.729,0.0,0.23,0.527,1
It_#1***Ty_Segall,0.0608,0.42,0.0107,0.416,0.776,1
Dangerous_(feat._Joywave)***Big_Data,0.011,0.757,0.00672,0.952,0.578,1
Counting***Autre_Ne_Veut,0.0249,0.618,1.37e-05,0.299,0.538,1
You're_the_Best***Wet,0.642,0.657,4.03e-05,0.266,0.393,1
Estrelar***Marcos_Valle,0.538,0.879,0.000333,0.797,0.495,1
Hold_On_We're_Going_Home***ASTR,0.0172,0.496,0.0367,0.172,0.54,1
Uncle_ACE***Blood_Orange,0.0639,0.742,0.165,0.748,0.945,1
San_Francisco***Foxygen,0.245,0.623,0.000913,0.884,0.65,1
Stay_High_-_Habits_Remix***Tove_Lo,0.00101,0.736,0.897,0.0793,0.68,1
Crosstown_Traffic***Jimi_Hendrix,0.254,0.482,2.43e-06,0.539,0.96,1
Ziggy_Starfish_(Anxiety_Raps)_[feat._Gold_Panda]***Open_Mike_Eagle,0.0117,0.683,0.000379,0.317,0.86,1
Marijuana***Chrome_Sparks,0.0626,0.697,0.774,0.436,0.655,1
Crown_Violet_-_Bonus_Track***Azizi_Gibson,0.479,0.631,0.0,0.104,0.626,1
Glad_I_Met_You***D._Gookin,0.0957,0.747,0.000519,0.56,0.722,1
Dancing_In_The_Rain***Blu,0.251,0.569,2.68e-06,0.709,0.74,1
You_Know_I'm_No_Good_-_Ghostface_UK_Version***Amy_Winehouse,0.029,0.674,5.56e-06,0.807,0.832,1
Kill_V._Maim***Grimes,0.00744,0.578,0.0816,0.452,0.947,1
Life_Round_Here***James_Blake,0.449,0.586,0.368,0.276,0.658,1
Sitting_Pretty_(feat._Wiz_Khalifa)***Ty_Dolla_$ign,0.275,0.756,0.0,0.307,0.44,1
"Glyde_2nyte_(feat._Leon_Sylvers_III,_Leon_Sylvers_IV)***Dâm-Funk",0.212,0.723,5.83e-05,0.867,0.687,1
Clouds_Over_the_Pacific***James_Pants,0.0559,0.599,0.108,0.371,0.645,1
Distant_Land***Madlib,0.00333,0.586,0.916,0.771,0.671,1
Flashlight***Parliament,0.0332,0.749,0.0499,0.824,0.802,1
Can_You_Get_To_That***Funkadelic,0.539,0.689,0.0,0.822,0.83,1
Better***Banks,0.0257,0.283,0.00489,0.151,0.331,1
Pony***Pretty_Sister,0.0193,0.413,0.0,0.601,0.676,1
WTF_(Where_They_From)_[feat._Pharrell_Williams]***Missy_Elliott,0.0181,0.932,6.81e-06,0.552,0.819,1
Again***Fetty_Wap,0.0062,0.748,0.0,0.273,0.733,1
Exchange***Bryson_Tiller,0.108,0.53,0.0,0.272,0.433,1
Sugar_for_the_Queen***Bells_Atlas,0.196,0.388,0.00883,0.804,0.688,1
Symphony_of_the_Nymph***Ariel_Pink's_Haunted_Graffiti,0.667,0.371,0.00186,0.558,0.703,1
Cool_It_Now***New_Edition,0.124,0.875,0.0123,0.704,0.532,1
Jumpin'_Jack_Flash***Ananda_Shankar,0.074,0.523,0.00336,0.496,0.722,1
River***Ibeyi,0.0962,0.654,0.0031,0.111,0.292,1
You_Know_You_Like_It_-_Bondax_Remix***AlunaGeorge,0.455,0.847,0.0622,0.624,0.654,1
Batuque_(Jeremy_Sole_&_Atropolis_Remix)***Dom_La_Nena,0.015,0.836,0.00103,0.43,0.537,1
Mykonos_(feat._Fleet_Foxes)***Rhythms_Del_Mundo,0.172,0.413,0.000309,0.542,0.555,1
So_Destroyed_(channeling_Rage_Peace)***Prince_Rama,0.123,0.473,0.968,0.554,0.865,1
Bitch***Allie_X,0.00593,0.609,0.585,0.0844,0.641,1
Locket***Kilo_Kish,0.174,0.544,0.0248,0.189,0.427,1
Apathy***Shlohmo,0.0059,0.379,1.04e-05,0.0647,0.674,1
It_All_Feels_Right***Washed_Out,0.000304,0.316,0.0139,0.239,0.748,1
Last_Chance_to_Dance***Ekkah,0.29,0.857,3.04e-06,0.729,0.484,1
The_Righteous_One***The_Orwells,0.00412,0.389,0.172,0.399,0.884,1
The_New_International_Sound***GENER8ION,0.00492,0.519,0.93,0.222,0.793,1
Like_Lust***MOVEMENT,0.384,0.478,0.808,0.0635,0.6,1
Rhythm_of_Devotion***Sisyphus,0.00978,0.706,0.00955,0.808,0.643,1
Zion_Gate_Dub***King_Tubby,0.0621,0.736,0.0312,0.761,0.539,1
Enjoy_The_Silence_-_Remastered_Version_Original***Depeche_Mode,0.081,0.651,6.54e-05,0.738,0.77,1
Fried_Neck_Bones_And_Some_Home_Fries_-_Dan_The_Automator_Remix***Willie_Bobo,0.0269,0.869,0.299,0.244,0.658,1
Archangel***Burial,0.428,0.624,0.656,0.517,0.852,1
"Lone_Wolf_and_Cub_(feat._Herbie_Hancock,_Flying_Lotus,_Miguel_Atwood-Ferguson_&_Mono/poly)***Thundercat",0.699,0.386,0.872,0.254,0.509,1
Skyscraper***Elephant,0.22,0.234,0.000176,0.365,0.747,1
I_Want_You_-_Single_Version***Marvin_Gaye,0.516,0.525,5e-06,0.769,0.797,1
"The_New_International_Sound,_Pt._2_(feat._M.I.A.)***GENER8ION",0.00564,0.521,0.0226,0.264,0.888,1
Suede_(feat._Anderson_Paak_&_Knxwledge)***NxWorries,0.504,0.719,0.0,0.668,0.697,1
Bam_Bam***Sister_Nancy,0.825,0.722,0.0178,0.69,0.605,1
Alright***Logic,0.0453,0.806,5.71e-06,0.131,0.696,1
Rainy_Streets***Blue_In_Green,0.259,0.763,0.902,0.475,0.491,1
Hazelton_Trump***OB_OBrien,0.00403,0.736,5.49e-06,0.601,0.68,1
Free_Stress_Test***Professor_Murder,0.0141,0.651,6.02e-06,0.731,0.824,1
I'm_Ya_Dogg***Snoop_Dogg,0.127,0.479,0.0,0.522,0.609,1
Hot_Dreams***Timber_Timbre,0.379,0.535,0.0464,0.339,0.374,1
The_Hills***The_Weeknd,0.0861,0.356,0.0,0.116,0.567,1
"When_They_Fight,_They_Fight***Generationals",0.26,0.753,0.000102,0.967,0.9,1
The_River***Son_Little,0.032,0.694,0.00129,0.549,0.789,1
Rill_Rill***Sleigh_Bells,0.0356,0.483,1.6e-06,0.803,0.804,1
Awake***Santé,0.0453,0.878,0.751,0.138,0.43,1
Johnny_Was***Bob_Marley_&_The_Wailers,0.19,0.703,5.26e-06,0.815,0.412,1
"Monster_Mash***Bobby_""Boris""_Pickett",0.407,0.688,0.0,0.708,0.488,1
Night_on_Bald_Mountain***Modest_Mussorgsky,0.854,0.316,0.888,0.0933,0.308,1
Feel_The_Volume***Jauz,0.153,0.725,0.0328,0.191,0.918,1
Water_Me_(feat._Leon_Ware)***Theophilus_London,0.321,0.749,0.155,0.587,0.422,1
Kathy_Lee***Jessy_Lanza,0.00079,0.771,0.1,0.281,0.248,1
Love_Buzz***Shocking_Blue,0.0259,0.69,0.00243,0.693,0.548,1
Beautiful_Life_(feat._Action_Bronson_&_Joey_Bada$$)***Statik_Selektah,0.058,0.648,0.0,0.464,0.887,1
Auditorium***Mos_Def,0.0498,0.403,0.0,0.734,0.742,1
"Disco_Devil***Lee_""Scratch""_Perry",0.0803,0.664,0.000253,0.527,0.727,1
Frontier_Psychiatrist***The_Avalanches,0.118,0.704,0.000115,0.408,0.894,1
Had_Ten_Dollaz***Cherry_Glazerr,0.00189,0.554,0.39,0.824,0.749,1
Sometimes***Heems,0.0174,0.446,0.0,0.585,0.752,1
VHS_Sex***Com_Truise,0.124,0.612,0.85,0.373,0.628,1
Ambling_Alp***Yeasayer,0.00838,0.587,3.55e-05,0.42,0.866,1
All_Day_And_All_Of_The_Night***The_Kinks,0.429,0.551,0.000686,0.628,0.952,1
Strychnine***The_Sonics,0.419,0.331,0.0,0.561,0.957,1
Who_Is_He_(And_What_Is_He_to_You?)***Bill_Withers,0.106,0.912,0.000208,0.949,0.317,1
Acamar***Frankey,0.0211,0.697,0.893,0.311,0.905,1
It_Looks_Like_Love***Goody_Goody,0.00799,0.883,0.804,0.964,0.333,1
